"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Armenia","ARM",124819708,0.242363197758024,1,57,2,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,1,1,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,3,2,2,,0,1,2,4,4,4,2,5,1,1,0,0
"Armenia","ARM",158436885,0.256201313062067,1,62,2,3,2,2,1,1,0,,,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,2,4,2,1,,0,0,4,4,3,4,2,5,1,2,0,0
"Armenia","ARM",204752713,0.718903332296998,1,62,3,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,2,2,2,1,3,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,2,,0,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",145759832,0.673094138522938,1,51,2,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,3,2,2,1,,1,1,2,1,2,1,,0,1,4,4,4,2,2,5,1,2,0,0
"Armenia","ARM",161218919,1.26329269038074,2,77,2,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,1,,2,,,,,,1,1,1,4,3,1,,0,0,4,4,2,4,2,5,1,2,0,0
"Armenia","ARM",122368050,0.380021280725897,1,79,2,3,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,5,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,2,1,4,2,1,,1,0,4,4,4,4,2,5,1,1,0,0
"Armenia","ARM",196487922,1.2960754115086,1,63,2,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,2,2,4,,0,1,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",112974756,0.796609182031757,2,67,3,4,2,2,1,1,0,,,1,1,1,2,2,2,,,,2,,1,1,2,,,,,,,,,,,,,,2,2,,2,2,2,,,,2,2,,2,2,2,2,,2,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,2,,1,0,4,4,4,4,4,5,1,1,1,1
"Armenia","ARM",128127211,1.00948699877706,1,56,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,2,,0,0,4,4,4,4,2,5,2,2,0,0
"Armenia","ARM",154462175,0.242363197758024,1,70,3,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,1,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,4,4,4,4,2,5,1,2,0,0
"Armenia","ARM",191304420,1.56451732833062,1,28,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,3,3,2,,,,1,2,2,2,1,2,2,,,2,2,,,,,,,1,2,2,2,1,,2,,,,,,3,1,3,3,,2,,0,0,4,2,4,4,3,4,1,1,0,0
"Armenia","ARM",151208896,0.324018852877149,1,60,2,2,1,2,1,1,0,,,2,,,,,,,,,,,,,,,3,1,2,2,2,4,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,2,1,3,3,2,,0,0,1,4,4,4,2,5,2,2,1,0
"Armenia","ARM",117341389,2.98339399484209,2,15,1,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,3,2,2,3,2,,1,0,4,4,4,4,4,5,1,1,0,0
"Armenia","ARM",146618224,0.570975319683446,1,31,2,3,2,1,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,2,2,2,4,2,,0,0,4,4,4,2,4,5,1,1,0,0
"Armenia","ARM",124196690,0.601229093492032,1,35,3,3,1,1,1,1,0,1,2,2,,,2,2,2,,,,1,2,1,1,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,2,2,2,2,,,,2,,,,2,,,,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,3,2,3,2,2,1,,0,1,1,4,4,4,4,5,1,1,1,0
"Armenia","ARM",122717064,2.06739683144318,1,53,2,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,2,2,1,,2,,,,,,3,2,2,3,2,2,,0,0,4,4,2,4,2,5,1,1,0,0
"Armenia","ARM",130816771,1.07676049327459,2,37,3,1,2,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,3,3,1,1,3,1,,0,1,4,4,4,4,2,5,1,1,0,0
"Armenia","ARM",197234879,1.26547013531508,1,54,2,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,1,4,3,2,,0,0,4,4,4,4,2,5,1,2,0,0
"Armenia","ARM",159153914,0.50158894996227,1,23,3,4,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,1,1,1,2,2,,,,,,,,,,2,2,2,2,1,1,,1,1,1,2,1,,2,2,2,2,1,1,2,,4,2,1,1,1,,,1,1,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,2,2,2,4,1,,1,1,2,4,4,4,4,1,1,1,1,1
"Armenia","ARM",204015866,0.963031284921797,1,29,3,3,2,2,1,1,0,,,1,2,,1,1,2,,,,1,1,2,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2,2,1,1,,2,2,2,1,1,,,1,1,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,1,1,4,4,4,4,1,1,1,1,1,0
